Item Type,Publication Year,Title,Author,Source
conferencePaper,2019,An empirical analysis of the influence of seismic data modeling for estimating velocity models with fully convolutional networks,"Campos, L.R.; Nogueira, P.; Moreira, D.; Nascimento, E.G.S.","WMSCI 2019 - 23rd World Multi-Conference on Systemics, Cybernetics and Informatics, Proceedings"
journalArticle,2019,Artificial Intelligence Improves Seismic-Image Reconstruction,"Carpenter, Chris",Journal of Petroleum Technology
journalArticle,2019,Deep learning for denoising,"Yu, Siwei; Ma, Jianwei; Wang, Wenlong",Geophysics
journalArticle,2019,Detection of point scatterers using diffraction imaging and deep learning,"Tschannen, Valentin; Ettrich, N.; Delescluse, Matthias; Keuper, Janis",Geophysical Prospecting
journalArticle,2019,Enhanced neural network sampling for two-stage Markov chain Monte Carlo seismic inversion,"Stuart, Georgia; Minkoff, Susan; Pereira, Felipe",
bookSection,2019,Fast and accurate seismic tomography via deep learning,"Araya–Polo, Mauricio; Adler, Amir; Farris, Stuart; Jennings, Joseph",Springer Nature
journalArticle,2019,"Frozen Gaussian Approximation for Elastic Waves, Seismic Inversion and Deep Learning","Hateley, James",
journalArticle,2019,Physics informed neural networks for velocity inversion,"Xu, Yiran; Li, Jingye; Chen, Xiaohong",
journalArticle,2019,Robust surface-wave full-waveform inversion,"Borisov, Dmitry; Gao, Fuchun; Williamson, Paul; Simons, Frederik; Tromp, Jeroen",
journalArticle,2019,Seismic inversion by Newtonian machine learning,"Chen, Yuqing; Schuster, Gerard",arXiv (Cornell University)
journalArticle,2019,Seismic waveform inversion using a neural network-based forward,"Fu, Hongsun; Zhang, Yan; Ma, Mingyue",Journal of Physics Conference Series
journalArticle,2019,Stochastic Seismic Waveform Inversion Using Generative Adversarial Networks as a Geological Prior,"Mosser, Lukas; Dubrule, Olivier; Blunt, Martin",Mathematical Geosciences
journalArticle,2018,A 3D pseudospectral method for SH-wave simulation in heterogeneous media,"Li, Junxiao; Innanen, K.; Tao, Guo",
journalArticle,2018,Automatic salt-body classification using deep-convolutional neural network,"Shi, Yunzhi; Wu, Xinming; Fomel, Sergey",
journalArticle,2018,Deep Learning Seismic Substructure Detection using the Frozen Gaussian Approximation,"Hateley, James; Bin Oh, Sung; Mylonakis, Kyle; Yang, Xu",arXiv (Cornell University)
journalArticle,2018,Deep learning for attenuating random and coherence noise simultaneously,"Ma, Jiawei",Proceedings
journalArticle,2018,Deep learning tutorial for denoising.,"Yu, Siwei; Ma, Jianwei; Wang, Wenlong",arXiv (Cornell University)
journalArticle,2018,Surrogate regression modelling for fast seismogram generation and detection of microseismic events in heterogeneous velocity models,"Das, Saptarshi; Chen, Xi; Hobson, M.; Phadke, Suhas; van Beest, Bertwim; Goudswaard, Jeroen; Hohl, Detlef",Geophysical Journal International
journalArticle,2018,Time-domain spectral-element ultrasound waveform tomography using a stochastic quasi-Newton method,"Boehm, Christian; Martiartu, Naiara; Balic, Ivana; Fichtner, Andreas; Vinard, Nicolas",
journalArticle,2018,Training an Inverse Operator on Shingling Seismic Data based on cGANs,"Wei, Yanwen; Sun, Mengyao; Fu, Haohuan",
journalArticle,2018,Velocity model building with a modified fully convolutional network,"Wang, Wenlong; Yang, Fangshu; Ma, Jianwei",
journalArticle,2017,Automated time-window selection based on machine learning for full-waveform inversion,"Chen, Yangkang; Hill, Judith; Lei, Wenjie; Lefèbvre, Matthieu; Tromp, Jeroen; Bozdağ, E.; Komatitsch, Dimitri",
journalArticle,2017,Multiscale seismic-envelope inversion for salt structures using a new direct-envelope Fréchet derivative,"Wu, Ru‐Shan; Chen, Guoxin",
journalArticle,2017,Time-dispersion filter for finite-difference modeling and reverse time migration,"Xu, Zhen; Jiao, Kun; Cheng, Xin; Sun, Dong; King, Ryan; Nichols, David; Vigh, Denes",
journalArticle,2016,A two-stage Markov chain Monte Carlo method for velocity estimation and uncertainty quantification,"Stuart, Georgia; Yang, Weihua; Minkoff, Susan; Pereira, Felipe",
journalArticle,2015,"Numerical Temporal Dispersion Corrections For Broadband Temporal Simulation, RTM and FWI","Anderson, John; Brytik, Valeriy; Ayeni, Gboyega",
bookSection,2014,FWI without low frequency data - beat tone inversion,"Hu*, Wenyi",Society of Exploration Geophysicists
journalArticle,2014,No-compromise marine seismic: A full-azimuth survey design for total-wavefield velocity model building and imaging in the deep-water Gulf of Mexico,"Long, Andrew; Campbell, S.; Fishburn, Steven; Brandsberg‐Dahl, S.; Chemingui, Nizar; Dirks, Volker",
journalArticle,2013,Deblending of simulated simultaneous sources using an iterative approach: An experiment with variable-depth streamer data,"Peng, Chao; Liu, Bin; Khalil, A.; Poole, G.",
journalArticle,2011,Imaging of primaries and multiples with 3D SEAM synthetic,"Lu, Shaoping; Whitmore, N.; Valenciano, A.; Chemingui, Nizar",
journalArticle,2011,Tackling the “Data Deluge”: a Dimensionality-reduction Approach,"Herrmann, Felix",Proceedings
journalArticle,2010,Convolutional perfectly matched layer for isotropic and anisotropic acoustic wave equations,"Pasalic, Damir; McGarry, Ray",
journalArticle,2010,Deghosting by joint deconvolution of a migration and a mirror migration,"Soubaras, Robert",
journalArticle,2010,Preconditioning full waveform inversion with phase‐encoded Hessian,"Tang, Yaxun; Lee, Sunwoong",
journalArticle,2010,Specular/diffraction imaging by full azimuth subsurface angle domain decomposition,"Koren, Zvi; Ravve, Igor",
journalArticle,2009,Simultaneous sources separation via multi‐directional vector‐median filter,"Huo, Shoudong; Luo, Yi; Kelamis, Panos",
journalArticle,2009,Source separation of simultaneous source OBC data,"Kim, Young‐Min; Gruzinov, Irina; Guo, Manhong; Sen, Satyakee",
journalArticle,2009,The pseudo‐analytical method: Application of pseudo‐Laplacians to acoustic and acoustic anisotropic wave propagation,"Etgen, John; Brandsberg‐Dahl, S.",
journalArticle,2006,Fast local cross‐correlations of images,"Hale, Dave",
journalArticle,2006,Separation and imaging of seismic diffractions using plane‐wave decomposition,"Taner, M.; Fomel, Sergey; Landa, Evgeny",
bookSection,2005,16. Detection of Buried Steel Drums from Magnetic Anomaly Data Using an Artificial Intelligence Technique,"Salem, Ahmed; Ravat, D.; Gamey, T.; Ushijima, Kazuo",Society of Exploration Geophysicists
journalArticle,2002,Refining AVO Interpretation for Reservoir Characterization with Neural Networks,"Ross, Christopher",All Days
journalArticle,2002,Subsalt multiple attenuation and imaging: Observations from the Sigsbee2B synthetic dataset,"Paffenholz, J.; McLain, Bill; Zaske, J.; Keliher, P.",
